Die Nummer der H�lle,Title,Year,Age
2096,Bloodrayne (Einzel-DVD),2007,FSK18
2116,"Hills Have Eyes, The",2007,FSK16
2116,Departed - Unter Feinden,2007,FSK16
2127,Spider-Man 2 (Einzel-DVD),2005,FSK12
2088,Ich beide & sie,2001,FSK16
2088,Unterwegs nach Cold Mountain,2004,FSK16
83,"Riddick - Chroniken eines Kriegers (Director's Cut, Einzel-DVD)",2006,FSK16
2074,Hostel,2006,FSK18
2074,Herr Lehmann,2004,FSK12
2024,Fight Club,2005,FSK16
2024,Lammbock - Alles in Handarbeit,2005,FSK16
2076,Trouble ohne Paddel,2005,FSK12
2076,Die Maske 2: Die n�chste Generation,2005,FSK6
2037,Lord of War - H�ndler des Todes,2006,FSK16
2037,Ghetto Gangz - Die H�lle vor Paris,2006,FSK18
2002,Die Blechtrommel,2001,FSK16
2002,Pornstar,2005,FSK16
2119,Transporter - The Mission (Einzel-DVD),2006,FSK12
2119,Ring 2 - Angst vollendet den Kreis,2006,FSK16
2016,Spiel ohne Regeln,2006,FSK12
2016,Ein Duke kommt selten allein,2006,FSK12
2014,Timecop 2,2003,FSK18
2014,Kiss of the Dragon,2002,FSK18
2015,King Arthur,2005,FSK16
2015,Open Range - Weites Land (Einzel-DVD),2004,FSK12
2052,"Devil's Rejects, The",2006,FSK18
2052,Haus der 1000 Leichen,2004,FSK18
2060,Das Streben nach Gl�ck,2007,FSK16
2060,Flutsch und weg,2007,FSK16
2122,Alien vs. Predator,2005,FSK16
2122,Ong-Bak,2007,FSK16
2057,Druids,2002,FSK12
2057,"Score, The",2002,FSK12
2086,Elektra,2005,FSK12
2086,Team America: World Police,2005,FSK16
2078,Harold & Kumar,2005,FSK12
2078,Klick,2007,FSK6
2028,Ocean's Twelve,2005,FSK6
2028,Hitch - Der Date Doktor,2005,FSK12
2084,Die Bourne Verschw�rung,2005,FSK12
2142,Borat,2007,FSK12
2084,Terminal (Einzel-DVD),2006,FSK16
2142,Lucky # Slevin,2007,FSK16
2049,Walking Tall - Auf eigene Faust,2006,FSK16
2049,Hellboy (Einzel-DVD),2005,FSK16
2094,"Meine Braut, ihr Vater und ich /Meine Frau, ihre Schwiegereltern und ich",2007,FSK6
2094,Catwoman,2005,FSK12
2079,XXX 2: The Next Level,2005,FSK12
2079,Saw,2005,FSK16
2017,Gegen den Strom - Swimming Upstream,2005,FSK12
2017,Das Haus am See,2006,FSK16
2032,Walk the line (Einzel-DVD),2006,FSK6
2032,Der talentierte Mr. Ripley,2000,FSK12
2071,Pans Labyrinth,2007,FSK16
2071,Das Parfum,2007,FSK12
2012,"Da Vinci Code - Sakrileg (Einzel-DVD), The",2006,FSK12
2012,D�j� Vu - Wettlauf gegen die Zeit,2007,FSK12
2072,Die purpurnen Fl�sse,2002,FSK16
2072,Spy Game - Der finale Countdown,2002,FSK12
2036,Easy Rider,2000,FSK16
2036,"Schwarze Katze, wei�er Kater",1999,FSK6
2063,Blood Diamond (Einzel-DVD),2007,FSK16
2063,300,2007,FSK16
2120,Meet the Feebles,1989,FSK18
2120,Shrek - Der tollk�hne Held,2006,FSK16
2124,Fluch der Karibik,2006,FSK12
2124,Coach Carter,2005,FSK6
2102,Garfield - Der Film (Einzel-DVD),2005,FSK16
2102,Van Helsing (Einzel-DVD),2004,FSK12
2114,Collateral,2005,FSK16
2114,Blade Trinity,2006,FSK16
2107,"Grind - Sex, Boards & Rock'n'Roll",2005,FSK6
2107,Aviator,2005,FSK12
2065,"Last Ride, The",2004,FSK12
2065,Metallica: Some Kind of Monster,2005,FSK6
2066,Dawn of the Dead,2004,FSK18
2066,Das geheime Fenster,2004,FSK16
2067,Secondhand Lions,2003,FSK12
2067,"Ring Thing, The",2004,FSK16
2118,"Transporter, The",2004,FSK16
2118,Der blutige Pfad Gottes,2000,FSK16
2068,Starsky & Hutch,2004,FSK16
2068,Abgefahren,2004,FSK16
2053,"Fast and the Furious: Tokyo Drift, The",2006,FSK12
2070,Alexander,2005,FSK12
2070,Voll auf die N�sse - DodgeBall,2005,FSK12
2075,K�nigreich der Himmel,2005,FSK12
2075,Garden State,2005,FSK12
2095,Lemony Snicket - R�tselhafte Ereignisse,2006,FSK6
2095,Der Untergang,2005,FSK12
2141,Das wandelnde Schloss,2006,FSK6
2135,Die rechte und die linke Hand des Teufels,2001,FSK16
2135,Zwei b�renstarke Typen,2003,FSK6
2144,Vier F�uste lassen es krachen,2001,FSK16
2144,Vier F�uste f�r ein Halleluja,2001,FSK12
2137,Zwei Himmelhunde auf dem Weg zur H�lle,2001,FSK16
2137,Zwei au�er Rand und Band,2003,FSK12
2133,Nobody ist der Gr��te,2007,FSK12
2133,Mein Name ist Nobody,2007,FSK12
2138,Banana Joe,2003,FSK6
2138,"Hector, der Ritter ohne Furcht und Tadel",2005,FSK12
2061,Spiegel Spezial 9/11,2006,FSK16
2061,Eragon,2007,FSK12
2051,Sin City,2005,FSK18
2051,Batman Begins (Einzel-DVD),2006,FSK12
2038,Keine halben Sachen,2001,FSK16
2038,One Hour Photo,2003,FSK12
2134,Zwei Asse trumpfen auf,2003,FSK6
2134,Zwei wie Pech und Schwefel,2004,FSK12
2136,Zwei sind nicht zu bremsen,2003,FSK12
2136,Vier F�uste gegen Rio,2003,FSK12
2140,Jagdfieber,2007,FSK16
2132,Asterix und die Wikinger,2006,FSK6
98,Ice Age 2 - Jetzt taut's,2007,FSK16
2150,Gilmore Girls - Die komplette erste Staffel (6 DVDs),2006,FSK12
2080,Saw II,2006,FSK18
2039,Per Anhalter durch die Galaxis,2005,FSK12
2039,Robots,2005,FSK16
2055,Pervert!,2007,FSK18
2055,Bullitt,1998,FSK16
2112,Aeon Flux,2006,FSK12
2112,Dead Meat,2005,FSK18
2030,V wie Vendetta,2007,FSK16
2030,Underworld: Evolution,2006,FSK16
2085,Immortal,2006,FSK16
2085,Shaun Of The Dead,2005,FSK16
2008,Battle Royal,2000,FSK16
2008,Old Men in New Cars - In China essen sie Hunde 2,2005,FSK16
2110,Brother,2002,FSK16
2110,Die Chroniken von Narnia: Der K�nig von Narnia,2006,FSK6
2106,Man on Fire - Mann unter Feuer,2005,FSK16
2106,Sahara - Abenteuer in der W�ste,2005,FSK12
2020,Conan - Der Barbar,2004,FSK16
2020,Nachts im Museum,2007,FSK6
2021,Ghost in the Shell,2005,FSK16
2021,Pi,2005,FSK12
2022,"Good Night, and Good Luck",2006,FSK12
20,Against The Wall,2000,FSK16
24,Mit aller Macht - Primary Colors,1999,FSK12
27,Doom - Der Film,2006,FSK18
30,startup,2002,FSK12
25,Very Bad Things,2000,FSK18
31,Sleepy Hollow,2004,FSK16
32,American Pie,2004,FSK12
34,Heavenly Creatures,2002,FSK16
,Der Fan,2001,FSK18
19,Jackie Brown,2000,FSK16
49,Wild Things,2006,FSK16
48,Desperate Measures,2007,FSK16
,To Die For,2001,FSK12
100,Donnie Brasco,2004,FSK16
47,Eiskalte Engel,2000,FSK16
101,Insider,2000,FSK6
26,Traffic - Macht des Kartells,2001,FSK16
45,Replacement Killers - Die Ersatzkiller,1999,FSK18
43,Scary Movie 2,2005,FSK16
44,Der Soldat James Ryan,2002,FSK16
35,Boogie Nights,1998,FSK16
42,Jim Carroll - In den Stra�en von New York,2001,FSK12
39,Der Sturm,2003,FSK12
28,Passwort: Swordfish,2003,FSK16
51,Planet der Affen,2002,FSK12
33,American Pie 2 (Ungek�rzt),2006,FSK12
38,Pulp Fiction,2000,FSK16
52,Bang Boom Bang - Ein todsicheres Ding,2000,FSK16
53,"Basic Instinct (Steelbook, 2 DVDs)",2006,FSK16
29,A.I. - K�nstliche Intelligenz (2 DVDs),2002,FSK12
2105,Anchorman - Die Legende von Ron Burgundy,2006,FSK12
2105,Ghost in the Shell 2 - Innocence,2006,FSK16
6,Running Scared,2006,FSK16
2145,"Descent - Abgrund des Grauens, The",2006,FSK16
2101,Die letzten Gl�hw�rmchen,2002,FSK6
2101,Prinzessin Mononoke,2003,FSK12
2097,Falling Down,2003,FSK16
2029,Shooter,2007,FSK18
2029,Ocean's 13,2007,FSK16
2103,Zodiac - Die Spur des Killers,2007,FSK16
2103,Number 23,2007,FSK16
2126,Shrek 3 - Der Dritte,2007,FSK6
2139,Hot Fuzz - Zwei abgewichste Profis,2007,FSK16
2097,Underworld,2004,FSK18
2018,"little trip to heaven, A",2007,FSK12
2018,Couchgefl�ster,2006,FSK16
2139,Hellsing Vol. 2,2004,FSK16
2128,Ghost Rider,2007,FSK16
2128,Spider-Man 3,2007,FSK12
2035,"Good, the Bad and the Ugly - Zwei glorreiche Halunken, The",2006,FSK16
2035,F�r ein paar Dollar mehr,2007,FSK16
64,Crank,2007,FSK18
2145,Chaos,2006,FSK16
2041,Hatchet,2007,FSK18
2041,"Hitcher, The",2007,FSK18
2121,Flags of Our Fathers,2007,FSK12
2121,Letters from Iwo Jima,2007,FSK16
,V�lkerball,2006,FSK16
2046,Die Simpsons: Der Film,2007,FSK6
2046,Kiss Kiss Bang Bang,2006,FSK16
2089,2001 Maniacs,2006,FSK18
2089,Die 36 Kammern der Shaolin,2004,FSK16
2013,Death Proof - Todsicher,2008,FSK16
2013,American Hardcore,2007,FSK12
2083,Die Hard 4.0,2007,FSK16
2083,Fantastic Four - Rise of the Silver Surfer,2007,FSK12
2147,Rush Hour 3,2007,FSK12
2099,Lawrence von Arabien,2002,FSK12
2087,Tom Sawyer & Huckleberry Finn DVD 1 (Folge 1-5),2006,FSK6
2087,Tom Sawyer & Huckleberry Finn DVD 2 (Folge 6-10),2006,FSK6
2146,In 80 Tagen um die Welt,2005,FSK6
90,Transformers,2007,FSK12
2143,Tim Burton's Corpse Bride - Hochzeit mit einer Leiche,2006,FSK6
2056,TMNT - Teenage Mutant Ninja Turtles,2008,FSK6
2056,Shoot 'Em Up (Einzel-DVD),2008,FSK18
2073,Das Bourne Ultimatum,2008,FSK12
2073,Mein F�hrer - Die wirklich wahrste Wahrheit �ber Adolf Hitler,2007,FSK12
37,Top Secret!,2002,FSK12
17,Helge Schneider Edition (4 DVDs),2007,FSK6
2109,"Kingdom, The",2008,FSK16
2031,boy eats girl,2008,FSK16
2109,Beowulf,2008,FSK16
2064,28 weeks later,2008,FSK18
2064,28 days later,2003,FSK18
2031,Planet terror,2008,FSK16
2132,Asterix in America,2003,FSK16
2130,Asterix erobert Rom,2001,FSK6
2130,Asterix Sieg �ber C�sar,2002,FSK6
2131,Asterix der Gallier,2001,FSK6
2131,Asterix und Kleopatra,2001,FSK6
2129,Asterix bei den Briten,2002,FSK6
2129,Asterix Operation Hinkelstein,2002,FSK6
2143,Chuck und Larry,2008,FSK12
2010,Vom Winde verweht,2000,FSK12
2125,Fluch der Karibik 2,2006,FSK12
2023,Cach�,2006,FSK12
2023,American Gangster,2008,FSK16
2108,Bubba Ho-Tep,2007,FSK16
2108,30 days of night,2008,FSK16
2117,"hills have eyes 2, The",2007,FSK18
2117,Land of the dead,2006,FSK18
2000,Black sheep,2007,FSK16
2000,Erkan und Stefan,2002,FSK12
2005,Lissi und der wilde Kaiser,2008,FSK6
2005,Sterben f�r Anf�nger,2007,FSK6
2090,Free Rainer,2008,FSK12
2090,I am legend,2008,FSK16
2113,Der Sinn des Lebens,2000,FSK16
2123,Alien vs. Predator 2,2008,FSK18
2123,von L�wen und L�mmern,2008,FSK12
2113,From Dusk till Dawn,1997,FSK16
2050,Hitman,2008,FSK18
2050,Postal,2008,FSK16
2059,Trainspotting,2008,FSK16
2059,KeinOhrHase,2008,FSK12
2025,Outpost - Zum K�mpfen geboren,2008,FSK16
2025,Jumper,2008,FSK12
2104,tanz der Teufel,2004,FSK16
2104,"Shining, The",2001,FSK16
2082,"Untouchables - Die Unbestechlichen, The",2005,FSK16
2081,Stirb Langsam,2005,FSK16
2081,Stirb langsam 2,2000,FSK16
2082,Stirb langsam: Jetzt erst recht,2002,FSK16
2091,Desperado,2003,FSK18
2091,Irgendwann in Mexico,2004,FSK18
2098,Cloverfield,2008,FSK12
2098,Das Verm�chtnis des geheimen Buches,2008,FSK12
2047,Rec,2008,FSK18
2047,Michael Clayton,2008,FSK12
2040,Horton h�rt ein Hu!,2008,FSK0
56,Bad Taste,1990,FSK16
2040,Sweeney Todd - Der teuflische Barbier aus der Fleet Street,2008,FSK16
2007,Drachenl�ufer,2008,FSK12
2007,Die Welle,2008,FSK12
2011,Forgetting Sarah Marshall,2008,FSK16
2011,Br�gge sehen... und sterben?,2008,FSK16
2092,Der unglaubliche Hulk,2008,FSK16
2092,Untracable,2008,FSK16
2077,War,2008,FSK16
2077,Harold & Kumar - Flucht aus Guantanamo,2008,FSK16
2152,Doomsday - Tag der Rache,2008,FSK16
2152,Bank Job,2008,FSK12
2048,Ratatouille,2008,FSK0
2048,"Oh, wie sch�n ist Panama",2008,FSK0
2111,Die Chroniken von Narnia - Prinz Kaspian von Narnia,2008,FSK12
2111,Die drei ??? - Das Geheimnis der Geisterinsel,2008,FSK6
102,"Clone Wars, The",2008,FSK12
59,Indiana Jones und das K�nigreich des Kristallsch�dels,2008,FSK12
2026,Verhandlungssache,2000,FSK16
2026,21,2008,FSK12
2004,La Vie en Rose,2007,FSK12
2004,Sex and the City - Der Film (Einzel-DVD),2008,FSK12
62,American History X,2000,FSK16
2033,Revolver - Single Version,2008,FSK16
2033,Street Kings,2009,FSK16
1,Die Nackte Kanone Trilogie - Steelbook (3 DVDs inkl. Poster),2008,FSK12
1008,Louis de Fun�s DVD Collection Box No. 1  (3 DVDs),2004,FSK6
1009,Louis de Fun�s DVD Collection Box No. 2 (4 DVDs),2004,FSK12
1010,Louis de Fun�s DVD Collection Box No. 3 (3 DVDs),2005,FSK16
1016,"Lethal Weapon 1-4 - Complete Edition (Box Set / 8  DVDs,  Kinoversionen und Director's Cut)",2007,FSK18
2042,Leg dich nicht mit Zohan an,2009,FSK12
2042,3:10 To Yuma,2002,FSK16
2,Resident Evil Trilogy,2008,FSK18
9,Event Horizon - Steelbook,2008,FSK16
18,Beverly Hills Cop 1-3,2008,FSK16
2027,Wanted,2009,FSK18
2027,"Happening (Director's Cut), The",2008,FSK16
1011,Louis de Fun�s DVD Collection Box No. 4,2005,FSK6
1012,Louis de Fun�s DVD Collection Box No. 5,2005,FSK6
61,WALL�E - Der Letzte r�umt die Erde auf,2009,FSK0
,Batman - The Dark Knight,2008,FSK16
2093,El Chicko - Der Verdacht,2004,FSK16
2093,"Glamorous Life of Sachiko Hanai, The",2006,FSK18
16,Hot Shots! - Teil 1 + Teil 2,2005,FSK12
14,Abenteuer des Rabbi Jacob,1999,FSK12
1013,Louis de Fun�s DVD Collection Box No. 6,2007,FSK12
2045,Babylon A. D. (Uncut Version),2009,FSK16
2045,Saint Jacques ... Pilgern auf Franz�sisch (Einzel-DVD),2008,FSK6
1004,Nightmare on Elm Street Box DVDS,2009,FSK16
1015,Mad Max 1,1979,FSK16
1015,Mad Max 2 - Der Vollstrecker,1981,FSK16
1015,Mad Max 3 - Jenseits der Donnerkuppel,1985,FSK16
1014,Dirty Harry 1-5 Ultimate Collection Edition,2009,FSK16
2147,Total Recall - Totale Erinnerung (TV),1990,FSK16
2069,Dumbo (Walt Disney) Special Collection,1990,FSK0
2069,Findet Nemo (TV),2001,FSK0
2058,Death Race,2008,FSK18
2058,"Der Tag, an dem die Erde stillstand",2008,FSK12
2054,Max Payne,2008,FSK16
2054,James Bond - Ein Quantum Trost,2008,FSK12
,Madagascar (TV),2006,FSK0
57,"Das Dschungelbuch (Platinum Edition, 2 DVDs)",2007,FSK0
103,"Star Wars Clone Wars  Staffel 1, Vol 1: Geteilte Galaxie",2009,FSK12
11,Walt Disney Kostbarkeiten: Donald im Wandel der Zeit (2 DVDs),2004,FSK0
2146,Der seltsame Fall des Benjamin Button,2009,FSK12
60,Sieben Leben,2009,FSK12
58,Fear and Loathing in Las Vegas,1971,FSK16
13,Donald - Im Wandel der Zeit: 1947-1950 (2 DVDs),2004,FSK0
5,Octalus - Deep Rising,2009,FSK16
7,14 - elevenfourteen,2009,FSK16
3,Taxi,2009,FSK12
75,Da Ali G Show - Borat Edition,2009,FSK12
78,Rush Hour,2009,FSK12
77,Wrong Turn,2009,FSK16
76,Wasabi - Ein Bulle in Japan,2009,FSK16
4,Daylight,2009,FSK12
10,Gladiator (Einzel-DVD),2006,FSK16
,Smokin' Aces (Einzel-DVD),2008,FSK16
8,Four Rooms,2006,FSK16
2006,Kurzer Prozess - Righteous Kill,2009,FSK16
2006,Der Kaufhaus Cop,2009,FSK6
2009,"Der Mann, der niemals lebte",2009,FSK16
2009,"International, The",2009,FSK16
2148,Constantine (Einzel-DVD),2005,FSK16
2148,Gran Torino,2009,FSK12
2062,Illuminati,2009,FSK12
2062,Dead Snow (Uncut),2009,FSK18
81,Night of the living Dead 3D,2007,FSK16
80,"Big Lebowski, The",2009,FSK12
79,Spider-Man,2009,FSK12
72,Scarface,2009,FSK16
73,Tr�nen der Sonne,2009,FSK16
74,Being John Malkovich,2009,FSK12
82,Pitch Black - Planet der Finsternis,2009,FSK16
12,Walt Disneys Kostbarkeiten - Donald - Im Wandel der Zeit 2: 1942-1946 (2 DVDs),2009,FSK0
65,Crank 2: High Voltage,2009,FSK16
69,Sunshine,2009,FSK12
68,Watchmen - Die W�chter,2009,FSK16
71,Das Schweigen der L�mmer,2009,FSK16
66,W�chter der Nacht: Nochnoi Dozor,2009,FSK16
67,W�chter des Tages,2009,FSK16
41,Der Herr der Ringe - Die zwei T�rme (2 DVDs),2009,FSK12
40,Der Herr der Ringe - Die Gef�hrten (2 DVDs),2009,FSK12
50,"Fan, The",2009,FSK12
54,Die drei ??? und der Super-Papagei - Live,2009,FSK0
55,Spaceballs,2009,FSK12
63,SpongeBob Schwammkopf - Zeitreise,2009,FSK6
70,8 Blickwinkel,2009,FSK12
1000,Star Wars Trilogie: Der Anfang - Episode I-III,2009,FSK12
1002,Augsburger Puppenkiste - Jim Knopf und Lukas der Lokomotivf�hrer - Gold-Edition,2009,FSK0
1003,Augsburger Puppenkiste - Jim Knopf und die Wilde 13 - Gold-Edition,2009,FSK0
91,Transformers 2 - Die Rache,2009,FSK12
89,Star Trek,2009,FSK12
2019,50 erste Dates,2004,FSK6
2019,(T)Raumschiff Surprise - Periode 1,2005,FSK6
2022,Vier Br�der,2006,FSK16
1018,Looney Tunes Collection (4 DVDs),2009,FSK6
1017,"Star Wars: The Clone Wars - Die komplette erste Staffel (4 DVDs, Giftset)",2009,FSK12
94,"Ghostbusters I & II (Deluxe Edition, 2 DVDs)",2009,FSK12
93,Br�no,2009,FSK16
92,Terminator - Die Erl�sung,2009,FSK16
2080,M*A*S*H,2002,FSK16
2115,J�rgen von der Lippe - Der Blumenmann,1997,FSK0
2115,"J�rgen von der Lippe - M�nner, Frauen, Vegetarier/Der Blumenmann",2001,FSK0
2125,FC Venus - Schwarz Rot Blond,2002,FSK6
2141,Die Insel,2006,FSK16
95,Der R�uber Hotzenplotz,2009,FSK16
96,Die unglaubliche Reise in einem verr�ckten Flugzeug,2009,FSK12
97,Die unglaubliche Reise in einem verr�ckten Raumschiff,2009,FSK6
98,Ice Age,2009,FSK0
98,Ice Age 3: Die Dinosaurier sind los,2009,FSK0
99,Zur�ck in die Zukunft,2009,FSK12
99,Zur�ck in die Zukunft - Teil II,2009,FSK12
99,Zur�ck in die Zukunft - Teil III,2009,FSK12
121,Liebesgr��e aus Moskau (Ultimate Edition),2009,FSK16
122,James Bond - Goldfinger,2009,FSK16
120,James Bond jagt Dr. No - Ultimate Edition,2009,FSK16
104,"Star Wars: The Clone Wars, Vol. 2: Clone Commandos (Staffel 1)",2009,FSK12
2151,Doghouse,2009,FSK18
2151,X-Men Origins: Wolverine,2009,FSK16
124,James Bond - Man lebt nur zweimal,2009,FSK12
123,James Bond - Feuerball,2009,FSK12
125,James Bond 007 - Im Geheimdienst Ihrer Majest�t,2009,FSK16
106,Oben,2009,FSK0
105,Fanboys,2009,FSK12
107,Inglourious Basterds,2009,FSK16
1019,"Tom & Jerry: The Complete Classic Collection (1-12, 12 DVDs)",2009,FSK6
1020,Alien/Predator - Total Destruction Collectio,2009,FSK18
128,James Bond 007 - Der Mann mit dem goldenen Colt,2010,FSK16
129,"James Bond 007 - Der Spion, der mich liebte",2010,FSK12
131,James Bond - In t�dlicher Mission,2010,FSK16
130,James Bond - Moonraker,2010,FSK12
134,James Bond - Der Hauch des Todes,2010,FSK16
133,James Bond 007 - Im Angesicht des Todes,2010,FSK12
132,James Bond - Octopussy,2010,FSK16
135,James Bond - Lizenz zum T�ten,2010,FSK16
108,Gremlins - Kleine Monster,2010,FSK16
109,Gremlins 2 - Die R�ckkehr der kleinen Monster,2010,FSK12
137,James Bond - Der Morgen stirbt nie,2010,FSK16
136,James Bond - Goldeneye,2010,FSK16
110,Tron - Deluxe Edition (2 DVDs),2010,FSK12
111,Pandorum,2010,FSK16
112,Der Marathon Mann,2010,FSK16
113,Avatar - Aufbruch nach Pandora,2009,FSK12
114,Family Guy pr�sentiert: Blue Harvest (Limited Collector's Edition),2010,FSK12
115,"Family Guy: Irgendwo, irgendwie, irgendwann auf der dunklen Seite",2010,FSK12
116,"Crank 2: High Voltage (Special Edition, 2 DVDs)",2009,FSK18
117,Hangover,2009,FSK12
1031,Transporter I-III: Triple Feature (3 DVDs),2009,FSK16
119,Forrest Gump (Einzel-DVD),1995,FSK12
126,James Bond - Diamantenfieber,2009,FSK16
127,James Bond 007 - Leben und sterben lassen,2009,FSK16
138,James Bond 007 - Die Welt ist nicht genug,2009,FSK12
139,James Bond 007 - Stirb an einem anderen Tag,2009,FSK12
140,"Matrix Trilogy (3 DVDs), The",2003,FSK16
141,"Toy Story / Toy Story 2 (Special Edition, 2 Discs)",2001,FSK0
142,Alice im Wunderland,2010,FSK12
143,Reservoir Dogs,1991,FSK18
144,Max Manus - Man of War - Steelbook,2008,FSK16
145,Total Recall - Totale Erinnerung,1990,FSK16
146,Fluch der Karibik (Einzel-DVD),2004,FSK12
147,Pirates of the Caribbean - Fluch der Karibik 2 (Einzel-DVD),2006,FSK12
148,Pirates of the Caribbean - Am Ende der Welt (Einzel-DVD),2007,FSK12
196,Robin Hood (Director's Cut),2010,FSK12
149,Braindead - Dead Alive,1972,FSK16
150,Braveheart,2001,FSK16
151,Tanz Der Teufel,2001,FSK18
152,Odyssee im Weltraum,2001,FSK12
153,"2010 - Das Jahr, in dem wir Kontakt aufnehmen",1984,FSK12
155,Sherlock Holmes,2009,FSK12
156,Dark Star - John Carpenter,1974,FSK6
157,Survival of the Dead,2009,FSK18
158,Predators,2010,FSK18
176,From Paris with Love,2010,FSK16
177,Kick-Ass,2010,FSK16
175,James Bond - Ein Quantum Trost,2008,FSK12
159,Red Heat,1988,FSK16
160,Schöne Bescherung,1989,FSK6
161,Toy Story 3,2010,FSK0
162,Falsches Spiel mit Roger Rabbit (Special Edition),1988,FSK12
163,Knight and Day - Agentenpaar wider Willen (Extended Cut),2010,FSK12
164,Inception,2010,FSK12
165,Kampf der Titanen,2010,FSK12
166,Apocalypse Now Redux,1979,FSK16
167,Platoon,2000,FSK16
168,Full Metal Jacket,2001,FSK16
169,Krieg der Eispiraten,1983,FSK12
170,Shutter Island,2010,FSK16
170,Salt (Deluxe Extended Edition),2010,FSK16
172,Das A-Team - Der Film (Extended Cut),2010,FSK12
,Karlsson auf dem Dach,1974,FSK0
174,James Bond 007 - Casino Royale (Einzel-DVD),2006,FSK12
1021,Star Wars: The Clone Wars - Staffel 2 (4 Discs),2010,FSK12
1022,"Fantomas Trilogie (Box-Set, 3 DVDs)",1967,FSK12
178,"Expendables, The",2010,FSK18
179,Demolition Man,1993,FSK16
180,Splice - Das Genexperiment,2009,FSK16
181,Gesetz der Rache,2009,FSK16
182,Der schmale Grat,1999,FSK16
183,Unsere Erde,2007,FSK6
184,High Tension - Single Version,2005,FSK18
185,"Book of Eli, The",2009,FSK16
237,MOMENTUM PICTURES Hobo With A Shotgun,2011,FSK16
186,Family Guy - Es ist eine Falle!,2010,FSK12
1022,Star Wars: The Clone Wars - Die komplette dritte Staffel,2011,FSK12
187,Das f�nfte Element (Remastered),1997,FSK12
188,"Green Hornet, The",2010,FSK12
189,Sieben,1999,FSK16
190,R.E.D. - �lter. h�rter. besser.,2010,FSK16
191,Moon (Special Edition),2009,FSK12
192,Pirates of the Caribbean - Fremde Gezeiten,2011,FSK12
193,Iron Man 2,2010,FSK12
194,Thor,2011,FSK12
195,Centurion,2010,FSK18
197,Ich - Einfach unverbesserlich,2010,FSK0
198,Judge Dredd,1998,FSK16
199,Terminator (Ungeschnittene Fassung),1984,FSK16
200,Terminator 2 - Tag der Abrechnung,2001,FSK16
201,"Town - Stadt ohne Gnade, The",2010,FSK16
202,Solomon Kane,2009,FSK16
203,Machete,2010,FSK18
204,Lassie Collection - Volume 2 (4 DVDs),2005,FSK0
205,Außer Kontrolle,1996,FSK12
206,"X-Men: Erste Entscheidung (inkl. Wendecover, Digital Copy)",2011,FSK12
207,Blade Runner - Final Cut Special Edition (2 DVDs),2007,FSK16
208,Die Goonies,1985,FSK12
209,Jonah Hex,2010,FSK16
2010,Die Maske,1998,FSK12
211,Stichtag,2010,FSK12
212,Minority Report,2003,FSK12
213,Titan A.E.,2000,FSK6
214,"CARGO - Da drau�en bist du allein (Special Edition, 2-Disc-Set)",2009,FSK16
215,Rapunzel - Neu verföhnt,2010,FSK0
216,Harry Brown,2009,FSK16
217,"Dark Knight, The",2008,FSK16
218,Driftwood,2006,FSK16
219,Megamind,2010,FSK6
220,Tucker & Dale vs Evil,2010,FSK16
221,"Tourist, The",2010,FSK12
222,12 Monkeys,1997,FSK16
223,Gamer,2009,FSK18
224,TRON Legacy,2010,FSK12
1023,Millennium Trilogie,2009,FSK16
